,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA,CITY_STATE
1260,657.0,222.0,609.0,394.0,0.726,-49.64340498,-28.98508179,79075.37,38071.92,Ermo - SC
1261,1086.0,603.0,1667.0,1052.0,0.716,-52.57217621,-28.49715469,143677.89,44745.53,Ernestina - RS
1262,1656.0,904.0,2014.0,1271.0,0.68,-52.57011205,-27.39333667,90761.89,17494.58,Erval Grande - RS
1263,2572.0,1242.0,3429.0,2128.0,0.685,-53.50957308,-27.54941713,246923.94,32005.7,Erval Seco - RS
1264,1443.0,955.0,1473.0,961.0,0.723,-51.4434329,-27.27389548,127139.93,28430.22,Erval Velho - SC
1265,5693.0,3212.0,9422.0,6138.0,0.625,-42.65936747,-20.83350656,319474.46,16864.15,Ervália - MG
1266,18143.0,15741.0,37590.0,24130.0,0.632,-35.23615742,-8.36252199,720079.9,10614.54,Escada - PE
1267,1093.0,749.0,2123.0,1299.0,0.68,-51.18879366,-28.05727635,193751.96,58588.44,Esmeralda - RS
1268,17555.0,16257.0,55040.0,35125.0,0.67,-44.31480692,-19.75920074,660885.42,9699.93,Esmeraldas - MG
1269,7401.0,4865.0,14080.0,9050.0,0.66,-41.91393502,-20.64370781,427170.8,17335.77,Espera Feliz - MG
1270,9103.0,6490.0,21538.0,13138.0,0.623,-35.85859329,-7.020685,403267.53,12208.76,Esperança - PB
1271,661.0,261.0,749.0,435.0,0.69,-53.81049504,-23.72465476,44588.36,23780.46,Esperança Nova - PR
1272,10131.0,6396.0,22289.0,14183.0,0.605,-42.23536453,-3.895604531,324676.66,8328.67,Esperantina - PI
1273,2257.0,1148.0,4605.0,2589.0,0.57,-48.5441476,-5.366608059,81039.62,7608.64,Esperantina - TO
1274,4822.0,2755.0,10009.0,6028.0,0.586,-44.8860687,-4.870300897,131773.03,7828.26,Esperantinópolis - MA
1275,8407.0,6342.0,19649.0,12988.0,0.672,-61.02017311,-11.52855463,544663.66,16650.27,Espigão D'Oeste - RO
1276,8490.0,5073.0,17597.0,11206.0,0.627,-42.81298184,-14.92527181,276095.76,8578.93,Espinosa - MG
1277,2960.0,1480.0,5426.0,3207.0,0.56,-35.31709079,-6.335571703,66475.02,6204.5,Espírito Santo - RN
1278,8677.0,5558.0,20734.0,12532.0,0.589,-37.94498147,-11.7994095,489787.07,13207.15,Esplanada - BA
1279,5104.0,3770.0,9847.0,6459.0,0.765,-52.84192697,-28.73144514,671.37,42421.91,Espumoso - RS
1280,2022.0,1749.0,5119.0,3338.0,0.753,-52.2704858,-27.90900634,226.2,36690.69,Estação - RS
1281,18233.0,15626.0,53286.0,34361.0,0.647,-37.44001085,-11.26794865,1498165.4,21761.11,Estância - SE
1282,13922.0,13574.0,41222.0,28708.0,0.757,-51.17429392,-29.65014797,1406.75,30009.41,Estância Velha - RS
1283,26430.0,26399.0,80334.0,53636.0,0.754,-51.14383734,-29.8521863,3399.32,40413.26,Esteio - RS
1284,3430.0,1555.0,4850.0,3269.0,0.691,-46.01635181,-22.46304506,259490.68,22740.4,Estiva - MG
1285,9146.0,6827.0,25592.0,16499.0,0.659,-47.44788299,-6.56808498,687393.24,16604.9,Estreito - MA
