,T_min,Freq,RelCost,Dist,CITY_STATE_A,CITY_STATE_B
10198,150,17.0,0.155,102.41753207475892,Lagarto - SE,Esplanada - BA
10199,30,7.0,0.155,17.33417026158295,Firmino Alves - BA,Ibicuí - BA
10200,30,103.0,0.155,14.210621483647898,Itajuípe - BA,Uruçuca - BA
10201,40,196.0,0.155,29.959030915212104,Jaguaquara - BA,Santa Inês - BA
10202,180,26.0,0.155,64.2538119547145,Aimorés - MG,Taparuba - MG
10203,80,30.0,0.155,32.29028694978466,Pequeri - MG,Três Rios - RJ
10204,170,45.0,0.155,96.48656573436487,Muniz Freire - ES,Viana - ES
10205,60,40.5,0.155,19.124768491045064,Santa Leopoldina - ES,Santa Teresa - ES
10206,60,28.0,0.155,28.169931796216577,Alvinlândia - SP,Garça - SP
10207,100,99.0,0.155,68.05996720927808,Avaré - SP,Fartura - SP
10208,30,302.0,0.155,26.544838836157712,Brodowski - SP,Ribeirão Preto - SP
10209,60,7.0,0.155,27.73419580682677,Campinas - SP,Morungaba - SP
10210,580,28.0,0.155,714.6722437426512,Piracicaba - SP,Medianeira - PR
10211,800,177.0,0.155,813.1575715883376,São Paulo - SP,Goiânia - GO
10212,40,88.0,0.155,28.946960397201043,Nova Esperança - PR,Paranacity - PR
10213,50,54.0,0.155,32.62443223741211,Arvorezinha - RS,Soledade - RS
10214,40,150.0,0.155,17.857161748482962,Canela - RS,Três Coroas - RS
10215,70,12.0,0.155,45.14420620889285,Carazinho - RS,Ibirapuitã - RS
10216,40,58.0,0.155,25.82971575621848,Erechim - RS,Viadutos - RS
10217,80,6.0,0.155,22.996699059805486,Guaporé - RS,Nova Bassano - RS
10218,40,24.0,0.155,25.865278541563868,Não-Me-Toque - RS,Tio Hugo - RS
10219,30,56.0,0.155,15.742955281473241,Nova Bassano - RS,Paraí - RS
10220,40,12.0,0.155,22.757092713871547,Nova Bassano - RS,Serafina Corrêa - RS
10221,80,118.0,0.155,34.43881960746698,Nova Petrópolis - RS,Novo Hamburgo - RS
10222,70,150.0,0.155,56.71738225957381,Mara Rosa - GO,Uruaçu - GO
10223,460,26.0,0.155021739130435,271.09933950041125,Ampére - PR,Carazinho - RS
